dbn,school_name,sat_reading_avg,sat_math_avg,sat_writing_avg,num_test_takers,sat_total_avg,processed_at,data_version
28Q505,HILLCREST HIGH SCHOOL,395.0,413.0,386.0,462,1194.0,2025-08-07 22:52:50.602068,production_v1
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,452.0,478.0,442.0,422,1372.0,2025-08-07 22:52:50.602068,production_v1
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,513.0,523.0,502.0,99,1538.0,2025-08-07 22:52:50.602068,production_v1
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,612.0,660.0,596.0,121,1868.0,2025-08-07 22:52:50.602068,production_v1
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406.0,406.0,384.0,74,1196.0,2025-08-07 22:52:50.602068,production_v1
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",439.0,445.0,432.0,68,1316.0,2025-08-07 22:52:50.602068,production_v1
29Q248,QUEENS PREPARATORY ACADEMY,360.0,380.0,359.0,52,1099.0,2025-08-07 22:52:50.602068,production_v1
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,401.0,397.0,375.0,46,1173.0,2025-08-07 22:52:50.602068,production_v1
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,402.0,398.0,402.0,49,1202.0,2025-08-07 22:52:50.602068,production_v1
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,436.0,427.0,424.0,59,1287.0,2025-08-07 22:52:50.602068,production_v1
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",400.0,426.0,394.0,78,1220.0,2025-08-07 22:52:50.602068,production_v1
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",385.0,377.0,377.0,52,1139.0,2025-08-07 22:52:50.602068,production_v1
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",379.0,414.0,359.0,49,1152.0,2025-08-07 22:52:50.602068,production_v1
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,393.0,381.0,377.0,62,1151.0,2025-08-07 22:52:50.602068,production_v1
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,410.0,440.0,405.0,98,1255.0,2025-08-07 22:52:50.602068,production_v1
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,414.0,449.0,412.0,395,1275.0,2025-08-07 22:52:50.602068,production_v1
30Q450,LONG ISLAND CITY HIGH SCHOOL,403.0,420.0,395.0,392,1218.0,2025-08-07 22:52:50.602068,production_v1
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,504.0,496.0,494.0,174,1494.0,2025-08-07 22:52:50.602068,production_v1
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,407.0,434.0,398.0,148,1239.0,2025-08-07 22:52:50.602068,production_v1
